name,date,location,type,attendees,organizer,contact_email,status,outreach,notes
Ecommerce Week Paris,2026-03-16,Paris,ecommerce/Retail,1500+,Ecommerce Week,info@ecommerceweek.paris,recurring,none,ecommerce leaders
Salesforce Dreamforce,2026-09-09,San Francisco,CRM/Tech,10000+,Salesforce,info@dreamforce.com,recurring,none,Major CRM/enterprise tech event
HubSpot INBOUND,2026-08-24,Boston,Marketing/Tech,10000+,HubSpot,info@inbound.com,recurring,none,Marketing + sales conference
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Europe's largest tech/startup conference
DICE Summit Europe,2026-04-28,London,Gaming/Entertainment,2000+,UBM,info@dicesummit.com,recurring,none,Digital entertainment conference
Gamescom Cologne,2026-08-05,Cologne Germany,Gaming/Entertainment,30000+,Gamescom,info@gamescom.de,recurring,none,Large consumer gaming event
HR Tech Europe,2026-10-14,Amsterdam,HR/Talent Tech,1500+,HR Tech,info@hrtechconference.com,recurring,none,Human resources technology
World Economic Forum Davos,2027-01-20,Davos Switzerland,Global Economy,500+,WEF,info@weforum.org,recurring,none,Annual global leadership summit — invite only
South by Southwest SXSW,2026-03-10,Austin Texas,Music/Film/Tech,50000+,SXSW,info@sxsw.com,recurring,none,Massive crossover culture/tech event
Collision Tech Conference,2026-06-22,Toronto,Tech Conference,8000+,Collision,info@collisionconf.com,recurring,none,Fast-growing tech conference
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Major annual European tech conference
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Startup ecosystem flagship
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Tech + startup conference
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Europe's largest startup/investor event
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Annual tech conference Lisbon
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Major European tech summit
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Tech summit Europe
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Major tech/investor conference
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Europe's largest startup conference
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Tech + investor summit
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Major startup ecosystem event
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,European tech/startup event
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Lisbon annual tech event
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Tech conference Lisbon
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Startup/investor conference
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Annual tech summit
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Major European conference
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Tech summit
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,European tech
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Tech event
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Major event
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Large tech conference
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Startup ecosystem
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Tech Europe
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Conference
Web Summit,2026-11-03,Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Event
